Age,Income,Number of Children,Credit Score Encoded,Education Encoded,Marital Status_Single,Home Ownership _Rented
25.0,61928.17586671487,0,0,1,1,1
33.0,52500.0,0,0,3,1,1
31.13227417164582,45000.0,0,0,0,1,1
32.188916583324094,52210.327351187174,0,0,2,1,1
32.904827407004746,47500.0,0,0,0,1,1
29.869894380482673,70325.26404879331,0,0,1,1,1
29.014611850884105,64172.754937868376,0,0,1,1,1
33.0,52500.0,0,0,3,1,1
28.487858573725298,45777.45580428916,0,0,0,1,1
32.42298345770578,57500.0,0,0,1,1,1
30.45921235667613,65811.18146498581,0,0,1,0,0
28.82534482813128,64093.893678388034,0,0,1,1,1
33.09770194061061,47218.031856440815,0,0,0,1,1
34.0,46180.537312904875,0,0,0,1,1
32.16284027843189,52201.014385154245,0,0,2,1,1
34.0,45716.888031942515,0,0,0,1,1
33.0,52500.0,0,0,3,1,1
36.0,56403.19299392374,0,0,0,1,1
29.625803079727365,64427.4179498864,0,0,1,1,1
29.950364770915126,43703.46697273293,0,0,0,1,1
34.0,47500.0,0,0,0,1,1
29.702951201944046,57500.0,0,0,0,1,1
25.0,60063.547816860235,0,0,1,1,1
33.0,52500.0,0,0,3,1,1
28.804017137580853,28479.914312095727,0,2,2,1,1
27.95477271108946,32726.13644455269,0,2,0,1,1
28.325330330763265,30873.348346183677,0,2,0,1,1
32.89058168248415,35556.61355155259,0,2,1,1,1
27.271349031773894,36143.25484113052,0,2,2,1,1
29.0,27500.0,0,2,3,1,1
28.64324667330641,29283.766633467945,0,2,1,1,1
27.71906549031262,33904.6725484369,0,2,0,1,1
28.457303916841752,30213.480415791244,0,2,1,1,1
28.0,32500.0,0,2,0,1,1
28.0,32500.0,0,2,0,1,1
28.92544935632023,27872.753218398855,0,2,2,1,1
29.0,27500.0,0,2,3,1,1
28.22775523070334,31361.223846483288,0,2,0,1,1
28.80128431846583,28493.578407670862,0,2,2,1,1
28.994477882876396,27527.61058561801,0,2,2,1,1
29.0,27500.0,0,2,3,1,1
29.0,27500.0,0,2,3,1,1
28.270992831959013,31145.035840204935,0,2,0,1,1
29.829837226512435,33643.64826657027,0,2,0,1,1
28.07404465173409,32129.776741329548,0,2,0,1,1
28.64153427145573,29292.328642721364,0,2,1,1,1
29.0,27500.0,0,2,3,1,1
29.0,27500.0,0,2,3,1,1
27.623298126827557,34383.50936586221,0,2,1,1,1
28.0,32500.0,0,2,0,1,1
29.0,27500.0,0,2,3,1,1
33.5121414262747,35945.08839142169,0,2,2,1,1
28.674816677973254,29125.916610133736,0,2,2,1,1
28.0,32500.0,0,2,0,1,1
30.261982757803082,37500.0,0,2,3,1,1
28.887212742576327,28063.93628711837,0,2,2,1,1
28.0,32500.0,0,2,0,1,1
28.119594245938302,31902.02877030849,0,2,0,1,1
30.29404170221604,33933.77606388502,0,2,0,1,1
28.239214951383104,31303.925243084486,0,2,0,1,1
29.0,27500.0,0,2,3,1,1
33.93870461959105,37500.0,0,2,3,1,1
29.0,27500.0,0,2,3,1,1
27.522732829381994,34886.33585309003,0,2,1,1,1
28.57245898164145,29637.705091792748,0,2,1,1,1
28.025419126744094,32372.904366279523,0,2,0,1,1
28.892108573006695,28039.457134966524,0,2,2,1,1
28.968570814313267,27657.14592843367,0,2,2,1,1
27.363589588736218,35682.052056318906,0,2,1,1,1
27.314355981076325,35928.220094618366,0,2,2,1,1
28.0,32500.0,0,2,0,1,1
29.0,27500.0,0,2,3,1,1
28.249292229148875,31253.538854255625,0,2,0,1,1
28.41038292303563,30448.08538482185,0,2,1,1,1
33.79996024688744,37500.0,0,2,3,1,1
34.16961467606702,36356.00917254189,0,2,2,1,1
27.076979909828793,37115.100450856036,0,2,2,1,1
27.28975145291377,36051.24273543116,0,2,2,1,1
27.838778712745995,33306.10643627002,0,2,0,1,1
28.0,32500.0,0,2,0,1,1
29.0,27500.0,0,2,3,1,1
28.366596243489578,30667.018782552117,0,2,1,1,1
28.128539409812284,31857.30295093859,0,2,0,1,1
29.0,27500.0,0,2,3,1,1
27.0,37500.0,0,2,3,1,1
27.9669690135902,37500.0,0,2,3,1,1
28.46065775808435,30196.711209578254,0,2,1,1,1
27.192559844835937,36537.20077582031,0,2,2,1,1
28.896091299923494,28019.543500382533,0,2,2,1,1
28.0,32500.0,0,2,0,1,1
35.119584603778584,36949.74037736162,0,2,2,1,1
27.227935162541943,36360.324187290295,0,2,2,1,1
27.427107788626255,35364.46105686872,0,2,1,1,1
29.0,27500.0,0,2,3,1,1
27.139269416743655,36803.65291628172,0,2,2,1,1
27.0,37500.0,0,2,3,1,1
28.510747302577567,29946.26348711217,0,2,1,1,1
27.41741100314878,35412.94498425611,0,2,1,1,1
27.77789218952927,33610.53905235365,0,2,0,1,1
