Credit_Score,Pais,Genero,Idade,Tempo_Credito,Balanco,Qtd_Produtos,Possui_Cartao,Membro_Ativo,Salario_Anual,Churn
637,SPAIN,Female,20.0,2,0.0,2,1.0,1.0,1011687.0,0.0
558,SPAIN,Female,20.0,8,0.0,2,1.0,1.0,1011687.0,0.0
613,SPAIN,Male,20.0,8,0.0,1,0.0,0.0,1011687.0,0.0
584,SPAIN,Female,20.0,8,0.0,2,1.0,1.0,1011687.0,0.0
601,SPAIN,Female,20.0,9,122446.61,2,0.0,0.0,1011687.0,1.0
637,SPAIN,Female,20.0,3,0.0,2,1.0,1.0,1011687.0,0.0
597,SPAIN,Male,20.0,3,0.0,2,0.0,1.0,1011687.0,0.0
559,SPAIN,Male,20.0,5,145809.73,1,1.0,1.0,1011687.0,0.0
601,SPAIN,Female,20.0,7,122446.61,2,1.0,0.0,1011687.0,0.0
691,SPAIN,Female,20.0,1,128306.83,1,1.0,1.0,1011687.0,0.0
734,SPAIN,Female,20.0,7,122446.61,2,1.0,0.0,1011687.0,0.0
624,SPAIN,Female,20.0,2,126476.75,1,1.0,1.0,1011687.0,0.0
573,SPAIN,Male,20.0,2,88827.33,1,1.0,1.0,1011687.0,0.0
661,SPAIN,Male,20.0,8,0.0,1,1.0,1.0,1011687.0,0.0
759,SPAIN,Female,20.0,5,0.0,2,1.0,1.0,1011687.0,0.0
762,SPAIN,Female,20.0,2,168920.75,1,1.0,1.0,1011687.0,0.0
730,SPAIN,Male,20.0,6,0.0,2,1.0,1.0,1011687.0,0.0
655,SPAIN,Male,20.0,3,122822.0,1,1.0,1.0,1011687.0,0.0
547,SPAIN,Female,20.0,4,88141.81,2,1.0,1.0,1011687.0,0.0
518,SPAIN,Female,20.0,8,0.0,2,1.0,1.0,1011687.0,0.0
625,SPAIN,Male,20.0,5,173434.9,2,1.0,0.0,1011687.0,0.0
675,SPAIN,Female,20.0,1,0.0,2,1.0,1.0,1011687.0,0.0
710,SPAIN,Male,20.0,4,0.0,2,1.0,1.0,1011687.0,0.0
574,SPAIN,Female,20.0,5,109570.34,1,1.0,0.0,1011687.0,0.0
601,SPAIN,Female,20.0,2,122446.61,2,1.0,1.0,1011687.0,0.0
639,SPAIN,Male,20.0,5,0.0,1,0.0,1.0,1011687.0,0.0
619,SPAIN,Male,20.0,8,0.0,2,1.0,0.0,1011687.0,0.0
611,SPAIN,Male,20.0,6,0.0,1,1.0,1.0,1011687.0,1.0
579,SPAIN,Female,20.0,9,122446.61,1,0.0,1.0,1011687.0,0.0
628,SPAIN,Male,20.0,1,106871.81,2,1.0,1.0,1011687.0,0.0
602,SPAIN,Female,20.0,2,0.0,2,1.0,0.0,1011687.0,0.0
646,SPAIN,Male,20.0,2,86102.27,2,0.0,0.0,1011687.0,0.0
594,SPAIN,Female,20.0,1,0.0,1,1.0,1.0,1011687.0,0.0
792,SPAIN,Male,20.0,2,0.0,2,0.0,0.0,1011687.0,1.0
601,SPAIN,Male,20.0,7,0.0,2,0.0,0.0,1011687.0,0.0
596,SPAIN,Female,20.0,10,0.0,2,1.0,1.0,1011687.0,0.0
804,SPAIN,Male,20.0,7,0.0,2,1.0,1.0,1011687.0,0.0
714,SPAIN,Male,20.0,3,0.0,1,0.0,1.0,1011687.0,0.0
685,SPAIN,Male,20.0,8,0.0,2,1.0,1.0,1011687.0,0.0
714,SPAIN,Male,20.0,3,0.0,1,0.0,0.0,1011687.0,0.0
834,SPAIN,Male,20.0,9,0.0,2,1.0,0.0,1011687.0,0.0
712,SPAIN,Male,20.0,1,118962.58,1,1.0,0.0,1011687.0,0.0
601,SPAIN,Female,20.0,9,0.0,2,1.0,0.0,1011687.0,0.0
635,SPAIN,Female,20.0,4,0.0,2,1.0,0.0,1011687.0,0.0
616,SPAIN,Male,20.0,3,0.0,2,0.0,0.0,1011687.0,1.0
648,SPAIN,Female,20.0,0,133313.34,1,1.0,1.0,1011687.0,0.0
509,SPAIN,Male,20.0,3,0.0,2,0.0,0.0,1011687.0,0.0
455,SPAIN,Male,20.0,9,0.0,2,0.0,1.0,1011687.0,0.0
650,SPAIN,Female,20.0,2,0.0,2,1.0,1.0,1011687.0,0.0
635,SPAIN,Female,20.0,6,0.0,1,1.0,0.0,1011687.0,0.0
762,SPAIN,Male,20.0,5,168920.75,1,1.0,0.0,1011687.0,0.0
524,SPAIN,Female,20.0,4,0.0,2,0.0,0.0,1011687.0,0.0
687,SPAIN,Female,20.0,6,0.0,1,1.0,0.0,1011687.0,1.0
703,SPAIN,Male,20.0,3,165260.98,1,1.0,1.0,1011687.0,0.0
701,SPAIN,Female,20.0,3,0.0,1,1.0,1.0,1011687.0,0.0
618,SPAIN,Male,20.0,7,0.0,2,0.0,1.0,1011687.0,0.0
700,SPAIN,Female,20.0,5,0.0,1,1.0,0.0,1011687.0,0.0
601,SPAIN,Female,20.0,9,0.0,2,1.0,1.0,1011687.0,0.0
635,SPAIN,Female,20.0,4,0.0,2,1.0,1.0,1011687.0,0.0
598,SPAIN,Male,20.0,8,0.0,1,0.0,1.0,1011687.0,0.0
714,SPAIN,Female,20.0,7,0.0,2,1.0,1.0,1011687.0,0.0
684,SPAIN,Female,21.0,6,0.0,2,1.0,1.0,1011687.0,0.0
695,SPAIN,Male,21.0,6,0.0,2,0.0,1.0,1011687.0,0.0
791,SPAIN,Male,21.0,8,0.0,2,1.0,1.0,1011687.0,0.0
622,SPAIN,Female,21.0,8,0.0,2,1.0,1.0,1011687.0,0.0
640,SPAIN,Male,21.0,3,117561.49,1,1.0,1.0,1011687.0,0.0
494,SPAIN,Male,21.0,9,98495.61,1,1.0,1.0,1011687.0,0.0
489,SPAIN,Female,21.0,4,0.0,2,0.0,1.0,1011687.0,0.0
683,SPAIN,Female,21.0,7,0.0,2,1.0,0.0,1011687.0,0.0
689,SPAIN,Female,21.0,6,0.0,1,1.0,0.0,1011687.0,0.0
508,SPAIN,Male,22.0,10,152310.5,1,1.0,1.0,1011687.0,0.0
632,SPAIN,Male,22.0,7,0.0,2,1.0,1.0,1011687.0,0.0
634,SPAIN,Female,22.0,3,0.0,2,0.0,1.0,1011687.0,0.0
554,SPAIN,Female,22.0,7,0.0,2,0.0,1.0,1011687.0,0.0
530,SPAIN,Female,22.0,7,0.0,2,0.0,1.0,1011687.0,0.0
537,SPAIN,Female,22.0,4,111156.52,1,1.0,0.0,1011687.0,0.0
564,SPAIN,Female,22.0,1,141434.04,1,1.0,1.0,1011687.0,0.0
434,SPAIN,Female,22.0,1,0.0,2,1.0,1.0,1011687.0,0.0
611,SPAIN,Male,22.0,2,156576.79,1,1.0,0.0,1011687.0,0.0
754,SPAIN,Male,22.0,1,0.0,2,0.0,1.0,1011687.0,1.0
832,SPAIN,Male,22.0,8,93833.86,2,0.0,0.0,1011687.0,0.0
693,SPAIN,Male,22.0,7,0.0,2,0.0,1.0,1011687.0,0.0
713,SPAIN,Male,22.0,9,0.0,2,1.0,1.0,1011687.0,0.0
672,SPAIN,Male,22.0,8,0.0,2,1.0,1.0,1011687.0,0.0
659,SPAIN,Female,22.0,8,0.0,1,1.0,1.0,1011687.0,0.0
544,SPAIN,Male,22.0,3,66483.32,1,0.0,0.0,1011687.0,1.0
636,SPAIN,Male,22.0,8,0.0,1,1.0,0.0,1011687.0,0.0
850,SPAIN,Female,22.0,4,0.0,3,1.0,1.0,1011687.0,0.0
551,SPAIN,Female,22.0,2,146329.57,1,0.0,1.0,1011687.0,0.0
485,SPAIN,Female,22.0,2,0.0,1,1.0,1.0,1011687.0,0.0
750,SPAIN,Male,22.0,2,121681.82,1,1.0,0.0,1011687.0,0.0
539,SPAIN,Female,22.0,6,0.0,2,1.0,1.0,1011687.0,0.0
798,SPAIN,Male,22.0,6,0.0,2,0.0,0.0,1011687.0,0.0
850,SPAIN,Female,22.0,1,0.0,2,1.0,1.0,1011687.0,0.0
530,SPAIN,Female,22.0,2,0.0,1,1.0,0.0,1011687.0,0.0
544,SPAIN,Male,22.0,8,0.0,1,1.0,0.0,1011687.0,0.0
613,SPAIN,Female,22.0,6,114440.24,1,1.0,1.0,1011687.0,1.0
850,SPAIN,Female,22.0,4,0.0,2,1.0,1.0,1011687.0,0.0
542,SPAIN,Female,22.0,8,0.0,2,0.0,0.0,1011687.0,0.0
636,SPAIN,Male,22.0,3,72945.29,1,0.0,1.0,1011687.0,1.0
850,SPAIN,Female,22.0,3,139874.23,1,1.0,0.0,1011687.0,0.0
628,SPAIN,Female,22.0,3,0.0,1,0.0,0.0,1011687.0,0.0
579,SPAIN,Male,22.0,2,0.0,1,1.0,0.0,1011687.0,1.0
477,SPAIN,Male,22.0,4,82559.42,2,0.0,1.0,1011687.0,0.0
721,SPAIN,Male,22.0,5,0.0,1,1.0,0.0,1011687.0,0.0
762,SPAIN,Female,22.0,1,0.0,2,1.0,0.0,1011687.0,0.0
719,SPAIN,Male,22.0,8,0.0,2,1.0,1.0,1011687.0,0.0
527,SPAIN,Male,22.0,6,126663.51,1,1.0,1.0,1011687.0,0.0
652,SPAIN,Male,22.0,5,0.0,2,0.0,0.0,1011687.0,0.0
704,SPAIN,Male,22.0,8,0.0,2,0.0,1.0,1011687.0,0.0
724,SPAIN,Male,22.0,6,0.0,2,1.0,1.0,1011687.0,0.0
656,SPAIN,Male,22.0,1,127637.96,1,1.0,1.0,1011687.0,0.0
712,SPAIN,Male,22.0,8,126875.53,1,1.0,0.0,1011687.0,1.0
663,SPAIN,Male,22.0,8,0.0,2,0.0,0.0,1011687.0,0.0
663,SPAIN,Male,22.0,5,0.0,2,1.0,0.0,1011687.0,0.0
611,SPAIN,Male,22.0,8,137852.96,1,0.0,1.0,1011687.0,0.0
708,SPAIN,Male,22.0,7,112615.86,1,1.0,1.0,1011687.0,1.0
703,SPAIN,Male,22.0,9,79468.96,1,1.0,0.0,1011687.0,1.0
598,SPAIN,Female,22.0,6,0.0,4,1.0,1.0,1011687.0,1.0
556,SPAIN,Male,22.0,0,131363.89,1,1.0,0.0,1011687.0,0.0
575,SPAIN,Male,22.0,6,161628.66,1,0.0,0.0,1011687.0,0.0
588,SPAIN,Male,22.0,4,83181.29,1,1.0,1.0,1011687.0,0.0
749,SPAIN,Female,22.0,8,0.0,2,0.0,0.0,1011687.0,0.0
567,SPAIN,Male,22.0,6,146098.43,1,1.0,0.0,1011687.0,0.0
496,SPAIN,Male,22.0,3,66483.32,1,0.0,1.0,1011687.0,0.0
682,SPAIN,Female,22.0,4,0.0,2,0.0,0.0,1011687.0,0.0
684,SPAIN,Male,22.0,3,103210.27,1,1.0,0.0,1011687.0,0.0
850,SPAIN,Female,22.0,1,0.0,2,0.0,1.0,1011687.0,1.0
605,SPAIN,Male,22.0,9,104760.82,1,0.0,1.0,1011687.0,1.0
586,SPAIN,Male,22.0,9,0.0,2,0.0,1.0,1011687.0,0.0
702,SPAIN,Male,22.0,9,99339.0,1,1.0,0.0,1011687.0,0.0
716,SPAIN,Female,22.0,3,0.0,2,0.0,0.0,1011687.0,0.0
449,SPAIN,Male,22.0,7,0.0,2,0.0,0.0,1011687.0,0.0
497,SPAIN,Male,22.0,5,137761.55,2,1.0,0.0,1011687.0,0.0
704,SPAIN,Male,22.0,1,0.0,2,1.0,1.0,1011687.0,0.0
566,SPAIN,Male,22.0,3,118680.57,2,1.0,1.0,1011687.0,0.0
543,SPAIN,Male,22.0,7,135962.0,1,1.0,1.0,1011687.0,0.0
710,SPAIN,Female,22.0,2,0.0,1,1.0,0.0,1011687.0,0.0
686,SPAIN,Male,22.0,6,0.0,2,0.0,0.0,1011687.0,0.0
642,SPAIN,Male,22.0,2,84006.27,1,1.0,1.0,1011687.0,0.0
632,SPAIN,Male,22.0,4,0.0,2,1.0,0.0,1011687.0,0.0
598,SPAIN,Male,22.0,7,0.0,2,1.0,1.0,1011687.0,0.0
673,SPAIN,Male,22.0,3,115930.87,1,1.0,1.0,1011687.0,0.0
818,SPAIN,Male,22.0,4,114991.45,2,1.0,1.0,1011687.0,0.0
759,SPAIN,Female,22.0,5,0.0,1,1.0,0.0,1011687.0,0.0
774,SPAIN,Male,22.0,6,0.0,2,0.0,0.0,1011687.0,0.0
716,SPAIN,Female,22.0,1,154763.63,1,1.0,0.0,1011687.0,0.0
571,SPAIN,Female,22.0,8,108117.1,2,0.0,1.0,1011687.0,0.0
683,SPAIN,Female,22.0,8,0.0,2,1.0,1.0,1011687.0,0.0
637,SPAIN,Female,22.0,5,98800.0,2,1.0,0.0,1011687.0,0.0
724,SPAIN,Male,22.0,8,93794.23,1,1.0,1.0,1011687.0,0.0
554,SPAIN,Male,22.0,5,129855.32,1,1.0,1.0,1011687.0,0.0
697,SPAIN,Female,22.0,7,168066.87,1,1.0,0.0,1011687.0,0.0
710,SPAIN,Male,22.0,8,0.0,1,1.0,0.0,1011687.0,1.0
697,SPAIN,Female,22.0,2,0.0,2,0.0,0.0,1011687.0,0.0
671,SPAIN,Male,22.0,8,0.0,2,1.0,1.0,1011687.0,0.0
602,SPAIN,Female,22.0,7,141604.76,1,1.0,1.0,1011687.0,0.0
553,SPAIN,Male,22.0,4,0.0,2,0.0,1.0,1011687.0,0.0
562,SPAIN,Female,22.0,7,0.0,1,0.0,0.0,1011687.0,0.0
583,SPAIN,Female,22.0,2,0.0,2,1.0,1.0,1011687.0,0.0
679,SPAIN,Male,22.0,5,0.0,2,1.0,0.0,1011687.0,0.0
679,SPAIN,Female,22.0,9,0.0,2,0.0,0.0,1011687.0,0.0
584,SPAIN,Female,22.0,3,0.0,3,1.0,0.0,1011687.0,1.0
641,SPAIN,Male,22.0,8,0.0,2,0.0,0.0,1011687.0,0.0
667,SPAIN,Female,22.0,6,0.0,1,1.0,1.0,1011687.0,0.0
850,SPAIN,Female,22.0,7,97612.12,2,0.0,0.0,1011687.0,0.0
515,SPAIN,Male,22.0,6,176273.95,1,1.0,1.0,1011687.0,0.0
681,SPAIN,Male,22.0,1,0.0,2,1.0,1.0,1011687.0,0.0
595,SPAIN,Male,22.0,10,0.0,1,1.0,0.0,1011687.0,0.0
620,SPAIN,Male,22.0,1,0.0,2,1.0,0.0,1011687.0,0.0
589,SPAIN,Male,22.0,7,0.0,2,1.0,1.0,1011687.0,0.0
635,SPAIN,Male,22.0,10,0.0,2,1.0,1.0,1011687.0,0.0
521,SPAIN,Female,22.0,10,0.0,1,0.0,1.0,1011687.0,0.0
726,SPAIN,Male,22.0,5,153639.53,1,1.0,1.0,1011687.0,0.0
687,SPAIN,Male,22.0,9,0.0,2,1.0,0.0,1011687.0,0.0
645,SPAIN,Female,22.0,7,141604.76,1,0.0,0.0,1011687.0,0.0
598,SPAIN,Male,22.0,7,0.0,1,1.0,0.0,1011687.0,0.0
544,SPAIN,Male,22.0,6,82914.04,1,0.0,0.0,1011687.0,0.0
757,SPAIN,Female,22.0,7,0.0,1,1.0,1.0,1011687.0,0.0
695,SPAIN,Male,22.0,5,0.0,2,1.0,1.0,1011687.0,0.0
805,SPAIN,Male,22.0,8,115961.57,1,1.0,1.0,1011687.0,0.0
686,SPAIN,Male,22.0,2,0.0,2,0.0,1.0,1011687.0,0.0
725,SPAIN,Male,22.0,5,0.0,2,1.0,0.0,1011687.0,0.0
582,SPAIN,Male,22.0,5,120307.58,1,1.0,1.0,1011687.0,0.0
711,SPAIN,Female,22.0,2,121681.82,1,1.0,0.0,1011687.0,1.0
748,SPAIN,Male,22.0,5,166909.2,2,1.0,0.0,1011687.0,1.0
650,SPAIN,Female,22.0,9,0.0,2,0.0,0.0,1011687.0,0.0
567,SPAIN,Female,22.0,10,0.0,2,0.0,1.0,1011687.0,0.0
699,SPAIN,Male,22.0,7,0.0,1,1.0,0.0,1011687.0,0.0
684,SPAIN,Male,22.0,4,0.0,2,1.0,0.0,1011687.0,0.0
722,SPAIN,Male,22.0,2,93301.97,1,1.0,0.0,1011687.0,0.0
544,SPAIN,Male,22.0,5,138577.9,1,0.0,1.0,1011687.0,0.0
521,SPAIN,Female,22.0,10,0.0,3,1.0,0.0,1011687.0,1.0
667,SPAIN,Female,22.0,2,0.0,2,1.0,1.0,1011687.0,0.0
796,SPAIN,Female,23.0,3,146584.19,2,0.0,0.0,1011687.0,1.0
531,SPAIN,Male,23.0,2,136815.64,1,1.0,1.0,1011687.0,0.0
716,SPAIN,Male,23.0,4,135756.56,1,1.0,1.0,1011687.0,0.0
705,SPAIN,Male,23.0,2,137761.55,1,1.0,1.0,1011687.0,0.0
687,SPAIN,Female,23.0,6,0.0,2,1.0,1.0,1011687.0,0.0
650,SPAIN,Female,23.0,5,0.0,1,0.0,1.0,1011687.0,0.0
663,SPAIN,Female,23.0,7,0.0,2,1.0,0.0,1011687.0,0.0
656,SPAIN,Male,23.0,5,0.0,2,1.0,1.0,1011687.0,0.0
714,SPAIN,Male,23.0,1,127283.78,1,0.0,1.0,1011687.0,0.0
593,SPAIN,Female,23.0,9,121537.93,2,0.0,0.0,1011687.0,0.0
653,SPAIN,Male,23.0,2,0.0,1,1.0,1.0,1011687.0,1.0
579,SPAIN,Female,23.0,2,53299.96,1,1.0,1.0,1011687.0,0.0
659,SPAIN,Female,23.0,7,0.0,2,1.0,1.0,1011687.0,0.0
451,SPAIN,Male,23.0,9,0.0,1,1.0,0.0,1011687.0,0.0
611,SPAIN,Male,23.0,4,0.0,2,1.0,0.0,1011687.0,0.0
543,SPAIN,Female,23.0,3,0.0,2,0.0,0.0,1011687.0,0.0
605,SPAIN,Female,23.0,7,0.0,2,1.0,0.0,1011687.0,0.0
565,SPAIN,Female,23.0,7,0.0,2,0.0,1.0,1011687.0,0.0
598,SPAIN,Female,23.0,6,0.0,2,0.0,0.0,1011687.0,0.0
612,SPAIN,Female,23.0,5,0.0,2,1.0,1.0,1011687.0,0.0
784,SPAIN,Male,23.0,1,0.0,1,1.0,1.0,1011687.0,0.0
492,SPAIN,Female,23.0,3,0.0,2,0.0,1.0,1011687.0,0.0
681,SPAIN,Male,23.0,6,0.0,2,1.0,1.0,1011687.0,0.0
605,SPAIN,Male,23.0,1,126076.24,2,1.0,1.0,1011687.0,0.0
710,SPAIN,Male,23.0,5,0.0,2,0.0,1.0,1011687.0,0.0
639,SPAIN,Male,23.0,2,0.0,2,1.0,0.0,1011687.0,0.0
727,SPAIN,Male,23.0,2,98635.77,1,1.0,0.0,1011687.0,0.0
584,SPAIN,Female,23.0,7,0.0,1,1.0,0.0,1011687.0,1.0
737,SPAIN,Male,23.0,5,0.0,2,1.0,0.0,1011687.0,0.0
753,SPAIN,Female,23.0,5,94464.81,2,0.0,1.0,1011687.0,0.0
599,SPAIN,Male,23.0,6,0.0,2,1.0,0.0,1011687.0,0.0
675,SPAIN,Female,23.0,9,136258.06,1,0.0,0.0,1011687.0,0.0
751,SPAIN,Female,23.0,8,142862.21,2,1.0,1.0,1011687.0,0.0
706,SPAIN,Male,23.0,8,0.0,2,1.0,1.0,1011687.0,0.0
662,SPAIN,Male,23.0,8,0.0,2,0.0,1.0,1011687.0,0.0
850,SPAIN,Male,23.0,6,0.0,1,0.0,1.0,1011687.0,0.0
709,SPAIN,Male,23.0,3,0.0,2,1.0,0.0,1011687.0,0.0
705,SPAIN,Female,23.0,5,0.0,1,1.0,1.0,1011687.0,0.0
651,SPAIN,Male,23.0,2,0.0,2,1.0,0.0,1011687.0,0.0
547,SPAIN,Female,23.0,8,0.0,2,1.0,1.0,1011687.0,0.0
850,SPAIN,Male,23.0,8,0.0,2,0.0,1.0,1011687.0,0.0
648,SPAIN,Male,23.0,7,0.0,1,1.0,0.0,1011687.0,0.0
685,SPAIN,Male,23.0,6,164902.43,1,0.0,0.0,1011687.0,0.0
651,SPAIN,Male,23.0,10,0.0,2,1.0,1.0,1011687.0,0.0
592,SPAIN,Female,23.0,3,0.0,2,1.0,1.0,1011687.0,0.0
545,SPAIN,Female,23.0,1,0.0,1,1.0,0.0,1011687.0,1.0
652,SPAIN,Male,23.0,4,0.0,1,1.0,0.0,1011687.0,0.0
594,SPAIN,Male,23.0,2,0.0,2,1.0,0.0,1011687.0,0.0
579,SPAIN,Male,23.0,6,0.0,2,1.0,1.0,1011687.0,0.0
622,SPAIN,Male,23.0,6,107433.48,1,1.0,1.0,1011687.0,0.0
678,SPAIN,Male,23.0,1,0.0,2,1.0,0.0,1011687.0,0.0
554,SPAIN,Male,23.0,6,143139.87,2,1.0,1.0,1011687.0,0.0
650,SPAIN,Female,23.0,5,0.0,1,1.0,1.0,1011687.0,0.0
622,SPAIN,Female,23.0,2,0.0,1,1.0,1.0,1011687.0,0.0
710,SPAIN,Male,23.0,8,100988.39,1,0.0,1.0,1011687.0,0.0
710,SPAIN,Male,23.0,6,61211.18,1,1.0,0.0,1011687.0,0.0
555,SPAIN,Male,23.0,6,0.0,2,1.0,1.0,1011687.0,0.0
697,SPAIN,Female,23.0,9,141786.81,1,1.0,0.0,1011687.0,0.0
678,SPAIN,Male,23.0,2,0.0,2,1.0,0.0,1011687.0,0.0
648,SPAIN,Female,23.0,9,126542.82,1,1.0,1.0,1011687.0,0.0
604,SPAIN,Female,23.0,9,124577.33,1,1.0,1.0,1011687.0,0.0
571,SPAIN,Female,23.0,10,152360.69,1,1.0,0.0,1011687.0,0.0
721,SPAIN,Male,23.0,5,164902.43,1,1.0,1.0,1011687.0,0.0
651,SPAIN,Female,23.0,3,0.0,1,0.0,1.0,1011687.0,0.0
611,SPAIN,Female,23.0,6,0.0,2,1.0,1.0,1011687.0,0.0
561,SPAIN,Male,23.0,3,0.0,2,1.0,0.0,1011687.0,0.0
673,SPAIN,Female,23.0,1,186813.76,2,0.0,1.0,1011687.0,0.0
685,SPAIN,Male,23.0,5,164902.43,2,0.0,0.0,1011687.0,0.0
710,SPAIN,Male,23.0,6,0.0,2,1.0,0.0,1011687.0,1.0
661,SPAIN,Male,23.0,5,0.0,1,1.0,0.0,1011687.0,0.0
672,SPAIN,Male,23.0,1,0.0,1,1.0,0.0,1011687.0,0.0
581,SPAIN,Male,23.0,7,159203.71,1,1.0,0.0,1011687.0,0.0
649,SPAIN,Male,23.0,7,82963.28,1,1.0,1.0,1011687.0,0.0
676,SPAIN,Male,23.0,3,96947.58,1,0.0,0.0,1011687.0,0.0
532,SPAIN,Male,24.0,8,142755.25,1,0.0,1.0,1011687.0,0.0
773,SPAIN,Male,24.0,5,0.0,1,1.0,1.0,1011687.0,0.0
602,SPAIN,Male,24.0,3,0.0,2,0.0,0.0,1011687.0,0.0
731,SPAIN,Male,24.0,5,0.0,2,1.0,0.0,1011687.0,0.0
468,SPAIN,Male,24.0,3,0.0,2,1.0,1.0,1011687.0,0.0
687,SPAIN,Male,24.0,1,0.0,2,0.0,1.0,1011687.0,0.0
537,SPAIN,Female,24.0,7,0.0,1,1.0,0.0,1011687.0,0.0
752,SPAIN,Male,24.0,1,75499.24,2,0.0,1.0,1011687.0,0.0
735,SPAIN,Female,24.0,1,0.0,1,0.0,0.0,1011687.0,0.0
429,SPAIN,Male,24.0,4,95741.75,1,1.0,1.0,1011687.0,0.0
680,SPAIN,Female,24.0,10,0.0,1,1.0,0.0,1011687.0,0.0
635,SPAIN,Male,24.0,8,0.0,1,1.0,1.0,1011687.0,0.0
