,CUSTOMERID,GENERO,IDOSO,CASADO,DEPENDENTES,TEMPO_COMO_CLIENTE,SERVICO_TELEFONE,SERVICO_INTERNET,SERVICO_SEGURANCA,SUPORTE_TECNICO,STREAMINGTV,TIPO_CONTRATO,METODO_PAGAMENTO,PAGAMENTO_MENSAL,TOTAL_PAGO,CHURN
25,6865-JZNKO,FEMININO,0,NAO,NAO,30,SIM,DSL,SIM,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1530.6,0
26,6467-CHFZW,MASCULINO,0,SIM,SIM,47,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,4749.15,1
27,8665-UTDHZ,MASCULINO,0,SIM,SIM,1,NAO,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,30.2,1
28,5248-YGIJN,MASCULINO,0,SIM,NAO,72,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,6369.45,0
29,8773-HHUOZ,FEMININO,0,NAO,SIM,17,SIM,DSL,NAO,NAO,SIM,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,1093.1,1
30,3841-NFECX,FEMININO,1,SIM,NAO,71,SIM,FIBER OPTIC,SIM,SIM,NAO,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,6766.95,0
31,4929-XIHVW,MASCULINO,1,SIM,NAO,2,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,181.65,0
32,6827-IEAUQ,FEMININO,0,SIM,SIM,27,SIM,DSL,SIM,SIM,NAO,UM ANO,ENVIO POR CORREIO,65.60756321839081,1874.45,0
33,7310-EGVHZ,MASCULINO,0,NAO,NAO,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,20.2,0
34,3413-BMNZE,MASCULINO,1,NAO,NAO,1,SIM,DSL,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,45.25,0
35,6234-RAAPL,FEMININO,0,SIM,SIM,72,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,7251.7,0
36,6047-YHPVI,MASCULINO,0,NAO,NAO,5,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,316.9,1
37,6572-ADKRS,FEMININO,0,NAO,NAO,46,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,3548.3,0
38,5380-WJKOV,MASCULINO,0,NAO,NAO,34,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,3549.25,1
39,8168-UQWWF,FEMININO,0,NAO,NAO,11,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1105.4,1
40,8865-TNMNX,MASCULINO,0,SIM,SIM,10,SIM,DSL,NAO,NAO,NAO,UM ANO,ENVIO POR CORREIO,65.60756321839081,475.7,0
41,9489-DEDVP,FEMININO,0,SIM,SIM,70,SIM,DSL,SIM,NAO,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,4872.35,0
42,9867-JCZSP,FEMININO,0,SIM,SIM,17,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR CORREIO,65.60756321839081,418.25,0
43,4671-VJLCL,FEMININO,0,NAO,NAO,63,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,4861.45,0
44,4080-IIARD,FEMININO,0,SIM,NAO,13,SIM,DSL,SIM,SIM,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,981.45,0
45,3714-NTNFO,FEMININO,0,NAO,NAO,49,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,3906.7,0
46,5948-UJZLF,MASCULINO,0,NAO,NAO,2,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,97.0,0
47,7760-OYPDY,FEMININO,0,NAO,NAO,2,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,144.15,1
48,7639-LIAYI,MASCULINO,0,NAO,NAO,52,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,4217.8,0
49,2954-PIBKO,FEMININO,0,SIM,SIM,69,SIM,DSL,SIM,SIM,NAO,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,4254.1,0
50,8012-SOUDQ,FEMININO,1,NAO,NAO,43,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,3838.75,0
51,9420-LOJKX,FEMININO,0,NAO,NAO,15,SIM,FIBER OPTIC,SIM,NAO,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,1426.4,1
52,6575-SUVOI,FEMININO,1,SIM,NAO,25,SIM,DSL,SIM,SIM,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,1752.65,0
53,7495-OOKFY,FEMININO,1,SIM,NAO,8,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,633.3,1
54,4667-QONEA,FEMININO,1,SIM,SIM,60,SIM,DSL,SIM,SIM,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,4456.35,0
55,1658-BYGOY,MASCULINO,1,NAO,NAO,18,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,1752.55,1
56,8769-KKTPH,FEMININO,0,SIM,SIM,63,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,6311.2,0
57,5067-XJQFU,MASCULINO,1,SIM,SIM,66,SIM,FIBER OPTIC,NAO,SIM,SIM,UM ANO,ENVIO POR E-MAIL,65.60756321839081,7076.35,0
58,3957-SQXML,FEMININO,0,SIM,SIM,34,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,894.3,0
59,5954-BDFSG,FEMININO,0,NAO,NAO,72,SIM,FIBER OPTIC,NAO,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,7853.7,0
60,0434-CSFON,FEMININO,0,SIM,NAO,47,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,4707.1,0
61,1215-FIGMP,MASCULINO,0,NAO,NAO,60,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,5450.7,0
62,0526-SXDJP,MASCULINO,0,SIM,NAO,72,NAO,DSL,SIM,NAO,NAO,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,2962.0,0
63,0557-ASKVU,FEMININO,0,SIM,SIM,18,SIM,DSL,NAO,SIM,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,957.1,0
64,5698-BQJOH,FEMININO,0,NAO,NAO,9,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,857.25,1
65,5122-CYFXA,FEMININO,0,NAO,NAO,3,SIM,DSL,NAO,SIM,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,244.1,0
66,8627-ZYGSZ,MASCULINO,0,SIM,NAO,47,SIM,FIBER OPTIC,NAO,NAO,NAO,UM ANO,ENVIO POR E-MAIL,65.60756321839081,3650.35,0
67,3410-YOQBQ,FEMININO,0,NAO,NAO,31,SIM,DSL,NAO,SIM,SIM,DOIS ANOS,ENVIO POR CORREIO,65.60756321839081,2497.2,0
68,3170-NMYVV,FEMININO,0,SIM,SIM,50,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,930.9,0
69,7410-OIEDU,MASCULINO,0,NAO,NAO,10,SIM,FIBER OPTIC,SIM,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,887.35,0
70,2273-QCKXA,MASCULINO,0,NAO,NAO,1,SIM,DSL,NAO,SIM,NAO,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,49.05,0
71,0731-EBJQB,FEMININO,0,SIM,SIM,52,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR E-MAIL,65.60756321839081,1090.65,0
72,1891-QRQSA,MASCULINO,1,SIM,SIM,64,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,7099.0,0
73,8028-PNXHQ,MASCULINO,0,SIM,SIM,62,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1424.6,0
74,5630-AHZIL,FEMININO,0,NAO,SIM,3,SIM,DSL,SIM,SIM,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,177.4,0
75,2673-CXQEU,FEMININO,1,NAO,NAO,56,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,ENVIO POR E-MAIL,65.60756321839081,6139.5,0
76,6416-JNVRK,FEMININO,0,NAO,NAO,46,SIM,DSL,NAO,NAO,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,2688.85,0
77,5590-ZSKRV,FEMININO,0,SIM,SIM,8,SIM,DSL,SIM,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,482.25,0
78,0191-ZHSKZ,MASCULINO,1,NAO,NAO,30,SIM,DSL,SIM,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,2111.3,0
79,3887-PBQAO,FEMININO,0,SIM,SIM,45,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,1216.6,0
80,5919-TMRGD,FEMININO,0,NAO,SIM,1,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,79.35,1
81,8108-UXRQN,FEMININO,0,SIM,SIM,11,NAO,DSL,SIM,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,565.35,0
82,9191-MYQKX,FEMININO,0,SIM,NAO,7,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,496.9,1
83,9919-YLNNG,FEMININO,0,NAO,NAO,42,SIM,FIBER OPTIC,NAO,SIM,SIM,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,4327.5,0
84,0318-ZOPWS,FEMININO,0,SIM,NAO,49,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,973.35,0
85,4445-ZJNMU,MASCULINO,0,NAO,NAO,9,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,918.75,0
86,4808-YNLEU,FEMININO,0,SIM,NAO,35,SIM,DSL,SIM,NAO,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,2215.45,0
87,1862-QRWPE,FEMININO,0,SIM,SIM,48,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1057.0,0
88,2796-NNUFI,FEMININO,0,SIM,SIM,46,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,65.60756321839081,927.1,0
89,3016-KSVCP,MASCULINO,0,SIM,NAO,29,NAO,DSL,NAO,NAO,SIM,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,1009.25,0
90,4767-HZZHQ,MASCULINO,0,SIM,SIM,30,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,2570.2,0
91,2424-WVHPL,MASCULINO,1,NAO,NAO,1,SIM,FIBER OPTIC,NAO,SIM,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,74.7,0
92,7233-PAHHL,MASCULINO,0,SIM,SIM,66,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,ENVIO POR CORREIO,65.60756321839081,5714.25,0
93,6067-NGCEU,FEMININO,0,NAO,NAO,65,SIM,FIBER OPTIC,SIM,NAO,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,7107.0,0
94,9848-JQJTX,MASCULINO,0,NAO,NAO,72,SIM,FIBER OPTIC,NAO,NAO,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,7459.05,0
95,8637-XJIVR,FEMININO,0,NAO,NAO,12,SIM,FIBER OPTIC,SIM,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,927.35,1
96,9803-FTJCG,MASCULINO,0,SIM,SIM,71,SIM,DSL,SIM,SIM,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,4748.7,0
97,0278-YXOOG,MASCULINO,0,NAO,NAO,5,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,113.85,1
98,3212-KXOCR,MASCULINO,0,NAO,NAO,52,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1107.2,0
99,4598-XLKNJ,FEMININO,1,SIM,NAO,25,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,2514.5,1
100,6380-ARCEH,MASCULINO,0,NAO,NAO,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,20.2,0
101,3679-XASPY,FEMININO,0,SIM,SIM,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,19.45,0
102,7123-WQUHX,MASCULINO,0,NAO,NAO,38,SIM,FIBER OPTIC,NAO,SIM,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,3605.6,0
103,5386-THSLQ,FEMININO,1,SIM,NAO,66,NAO,DSL,NAO,NAO,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,3027.25,0
104,3192-NQECA,MASCULINO,0,SIM,NAO,68,SIM,FIBER OPTIC,NAO,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,7611.85,1
105,6180-YBIQI,MASCULINO,0,NAO,NAO,5,NAO,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,100.2,0
106,6728-DKUCO,FEMININO,0,SIM,SIM,72,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,ENVIO POR E-MAIL,65.60756321839081,7303.05,0
107,9750-BOOHV,FEMININO,0,NAO,NAO,32,NAO,DSL,SIM,NAO,NAO,UM ANO,ENVIO POR CORREIO,65.60756321839081,927.65,0
108,8597-CWYHH,MASCULINO,0,NAO,NAO,43,SIM,FIBER OPTIC,NAO,NAO,SIM,UM ANO,ENVIO POR CORREIO,65.60756321839081,3921.3,0
109,2848-YXSMW,MASCULINO,0,SIM,SIM,72,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,1363.25,0
110,0486-HECZI,MASCULINO,0,SIM,NAO,55,SIM,FIBER OPTIC,SIM,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,5238.9,1
111,4549-ZDQYY,FEMININO,0,NAO,NAO,52,SIM,DSL,SIM,SIM,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,3042.25,0
112,5712-AHQNN,FEMININO,0,NAO,NAO,43,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,3954.1,0
113,4846-WHAFZ,FEMININO,1,SIM,NAO,37,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,2868.15,1
114,5256-SKJGO,FEMININO,0,SIM,SIM,64,NAO,DSL,NAO,SIM,SIM,DOIS ANOS,ENVIO POR E-MAIL,65.60756321839081,3423.5,0
115,3071-VBYPO,MASCULINO,0,SIM,SIM,3,SIM,FIBER OPTIC,SIM,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,248.4,0
116,9560-BBZXK,FEMININO,0,NAO,NAO,36,NAO,DSL,SIM,NAO,NAO,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1126.35,0
117,5299-RULOA,FEMININO,0,SIM,SIM,10,SIM,FIBER OPTIC,SIM,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,1064.65,1
118,8402-OOOHJ,FEMININO,0,NAO,NAO,41,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,65.60756321839081,835.15,0
119,9445-ZUEQE,MASCULINO,0,SIM,SIM,27,SIM,FIBER OPTIC,NAO,SIM,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,2151.6,0
120,1091-SOZGA,FEMININO,0,SIM,SIM,56,SIM,FIBER OPTIC,NAO,NAO,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,5515.45,0
121,2928-HLDBA,FEMININO,0,NAO,NAO,6,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,112.75,0
122,0404-SWRVG,MASCULINO,0,NAO,NAO,3,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,229.55,1
123,6497-TILVL,FEMININO,0,SIM,SIM,7,SIM,DSL,SIM,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,350.35,0
124,7219-TLZHO,FEMININO,0,SIM,SIM,4,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,62.9,0
125,4622-YNKIJ,MASCULINO,0,NAO,NAO,33,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,ENVIO POR E-MAIL,65.60756321839081,3027.65,0
126,4412-YLTKF,FEMININO,1,NAO,NAO,27,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,2135.5,1
127,6734-PSBAW,MASCULINO,0,SIM,NAO,72,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1723.95,0
128,3930-ZGWVE,MASCULINO,0,NAO,NAO,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,19.75,0
129,2639-UGMAZ,MASCULINO,1,NAO,NAO,71,NAO,DSL,SIM,NAO,SIM,UM ANO,ENVIO POR E-MAIL,65.60756321839081,3985.35,0
130,2876-GZYZC,FEMININO,0,NAO,NAO,13,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,1215.65,0
131,6207-WIOLX,FEMININO,0,SIM,SIM,25,NAO,DSL,SIM,NAO,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,1502.65,1
132,8587-XYZSF,MASCULINO,0,NAO,NAO,67,SIM,DSL,NAO,SIM,NAO,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,3260.1,0
133,3091-FYHKI,MASCULINO,0,NAO,NAO,1,NAO,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,35.45,1
134,2372-HWUHI,MASCULINO,0,NAO,NAO,2,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,81.25,1
135,7799-LGRDP,FEMININO,0,NAO,NAO,43,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,1188.2,0
136,7850-VWJUU,FEMININO,0,NAO,NAO,23,SIM,FIBER OPTIC,SIM,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1778.5,0
137,3774-VBNXY,FEMININO,0,SIM,SIM,64,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,65.60756321839081,1277.75,0
138,6217-KDYWC,MASCULINO,0,NAO,SIM,57,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,65.60756321839081,1170.55,0
139,0390-DCFDQ,FEMININO,1,SIM,NAO,1,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,65.60756321839081,70.45,1
140,3146-MSEGF,FEMININO,1,SIM,SIM,72,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,6425.65,0
141,4080-OGPJL,FEMININO,0,NAO,NAO,8,SIM,DSL,SIM,SIM,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,563.65,1
142,1095-WGNGG,FEMININO,0,SIM,NAO,61,SIM,FIBER OPTIC,NAO,NAO,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,5971.25,0
143,2636-SJDOU,MASCULINO,0,NAO,NAO,64,SIM,FIBER OPTIC,SIM,NAO,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,5289.05,0
144,1131-QQZEB,MASCULINO,1,SIM,NAO,71,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,1756.2,0
